# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00 -5.4960270378351E-11  7.3648896218913E-01  0.0000000000000E+00  3.3960754006700E-01  1.0400794443238E-10
 1.1897304503730E-02  2.6910999034040E-04  7.3048787556817E-01  0.0000000000000E+00  3.3960802589020E-01 -2.7888423934841E-04
 2.3794570295832E-02  5.3279186151564E-04  7.2449001754348E-01  0.0000000000000E+00  3.3960918744607E-01 -5.5213781492423E-04
 3.5691759382124E-02  7.9109917719604E-04  7.1849617479872E-01  0.0000000000000E+00  3.3961058729214E-01 -8.1981125851652E-04
 4.7588834545016E-02  1.0440859025784E-03  7.1250712534931E-01  0.0000000000000E+00  3.3961179045222E-01 -1.0819557997774E-03
 5.9485759336706E-02  1.2918064843747E-03  7.0652363358801E-01  0.0000000000000E+00  3.3961236592940E-01 -1.3386235384612E-03
 7.1382498072243E-02  1.5343157590237E-03  7.0054645200795E-01  0.0000000000000E+00  3.3961188623844E-01 -1.5898672910438E-03
 8.3279015822459E-02  1.7716689359108E-03  6.9457632075322E-01  0.0000000000000E+00  3.3960992758727E-01 -1.8357405777229E-03
 9.5175278406785E-02  2.0039215544294E-03  6.8861396794676E-01  0.0000000000000E+00  3.3960606983112E-01 -2.0762975604789E-03
 1.0707125238596E-01  2.2311294517382E-03  6.8266010973313E-01  0.0000000000000E+00  3.3959989651478E-01 -2.3115930001645E-03
 1.1896690505462E-01  2.4533487278095E-03  6.7671545042018E-01  0.0000000000000E+00  3.3959099488874E-01 -2.5416822078631E-03
 1.3086220443384E-01  2.6706357122260E-03  6.7078068258108E-01  0.0000000000000E+00  3.3957895594034E-01 -2.7666210004209E-03
 1.4275711926348E-01  2.8830469318088E-03  6.6485648716677E-01  0.0000000000000E+00  3.3956337442487E-01 -2.9864656550596E-03
 1.5465161899462E-01  3.0906390789251E-03  6.5894353361111E-01  0.0000000000000E+00  3.3954384890185E-01 -3.2012728661362E-03
 1.6654567378171E-01  3.2934689804318E-03  6.5304247993504E-01  0.0000000000000E+00  3.3951998177443E-01 -3.4110997027523E-03
 1.7843925447487E-01  3.4915935676153E-03  6.4715397284778E-01  0.0000000000000E+00  3.3949137933237E-01 -3.6160035666552E-03
 1.9033233261192E-01  3.6850698468106E-03  6.4127864784590E-01  0.0000000000000E+00  3.3945765179838E-01 -3.8160421522753E-03
 2.0222488041053E-01  3.8739548706217E-03  6.3541712930997E-01  0.0000000000000E+00  3.3941841337761E-01 -4.0112734071834E-03
 2.1411687076020E-01  4.0583057102565E-03  6.2957003059921E-01  0.0000000000000E+00  3.3937328231015E-01 -4.2017554932840E-03
 2.2600827721426E-01  4.2381794283146E-03  6.2373795414397E-01  0.0000000000000E+00  3.3932188092653E-01 -4.3875467495103E-03
 2.3789907398179E-01  4.4136330521745E-03  6.1792149153629E-01  0.0000000000000E+00  3.3926383570580E-01 -4.5687056555934E-03
 2.4978923591957E-01  4.5847235488499E-03  6.1212122361861E-01  0.0000000000000E+00  3.3919877733643E-01 -4.7452907963419E-03
 2.6167873852394E-01  4.7515077996691E-03  6.0633772057064E-01  0.0000000000000E+00  3.3912634077951E-01 -4.9173608271462E-03
 2.7356755792266E-01  4.9140425761366E-03  6.0057154199449E-01  0.0000000000000E+00  3.3904616533440E-01 -5.0849744407539E-03
