# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00  9.8231827111984E-01  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  1.0180000000000E+00
 1.1897304503730E-02  9.8231987736910E-01  9.0275959212809E-03  0.0000000000000E+00 -3.3135843652040E-03  1.0179983354081E+00
 2.3794570295832E-02  9.8232465294271E-01  1.8004697781470E-02  0.0000000000000E+00 -6.5766787893673E-03  1.0179933864068E+00
 3.5691759382124E-02  9.8233253353353E-01  2.6931311716855E-02  0.0000000000000E+00 -9.7892999680987E-03  1.0179852197330E+00
 4.7588834545016E-02  9.8234345544620E-01  3.5807447843867E-02  0.0000000000000E+00 -1.2951475549198E-02  1.0179739015473E+00
 5.9485759336706E-02  9.8235735560455E-01  4.4633120165347E-02  0.0000000000000E+00 -1.6063243980892E-02  1.0179594974220E+00
 7.1382498072243E-02  9.8237417155858E-01  5.3408346477903E-02  0.0000000000000E+00 -1.9124654360956E-02  1.0179420723302E+00
 8.3279015822459E-02  9.8239384149083E-01  6.2133148280415E-02  0.0000000000000E+00 -2.2135766286665E-02  1.0179216906352E+00
 9.5175278406785E-02  9.8241630422235E-01  7.0807550683689E-02  0.0000000000000E+00 -2.5096649705539E-02  1.0178984160809E+00
 1.0707125238596E-01  9.8244149921809E-01  7.9431582321299E-02  0.0000000000000E+00 -2.8007384766845E-02  1.0178723117823E+00
 1.1896690505462E-01  9.8246936659189E-01  8.8005275261635E-02  0.0000000000000E+00 -3.0868061673807E-02  1.0178434402173E+00
 1.3086220443384E-01  9.8249984711094E-01  9.6528664921184E-02  0.0000000000000E+00 -3.3678780536487E-02  1.0178118632186E+00
 1.4275711926348E-01  9.8253288219988E-01  1.0500178997907E-01  0.0000000000000E+00 -3.6439651225307E-02  1.0177776419666E+00
 1.5465161899462E-01  9.8256841394433E-01  1.1342469229284E-01  0.0000000000000E+00 -3.9150793225171E-02  1.0177408369822E+00
 1.6654567378171E-01  9.8260638509408E-01  1.2179741681559E-01  0.0000000000000E+00 -4.1812335490146E-02  1.0177015081214E+00
 1.7843925447487E-01  9.8264673906582E-01  1.3012001151440E-01  0.0000000000000E+00 -4.4424416298685E-02  1.0176597145691E+00
 1.9033233261192E-01  9.8268941994549E-01  1.3839252729002E-01  0.0000000000000E+00 -4.6987183109347E-02  1.0176155148342E+00
 2.0222488041053E-01  9.8273437249018E-01  1.4661501789806E-01  0.0000000000000E+00 -4.9500792416983E-02  1.0175689667454E+00
 2.1411687076020E-01  9.8278154212964E-01  1.5478753987139E-01  0.0000000000000E+00 -5.1965409609372E-02  1.0175201274467E+00
 2.2600827721426E-01  9.8283087496749E-01  1.6291015244405E-01  0.0000000000000E+00 -5.4381208824262E-02  1.0174690533944E+00
 2.3789907398179E-01  9.8288231778196E-01  1.7098291747645E-01  0.0000000000000E+00 -5.6748372806806E-02  1.0174158003541E+00
 2.4978923591957E-01  9.8293581802631E-01  1.7900589938212E-01  0.0000000000000E+00 -5.9067092767352E-02  1.0173604233977E+00
 2.6167873852394E-01  9.8299132382889E-01  1.8697916505571E-01  0.0000000000000E+00 -6.1337568239579E-02  1.0173029769020E+00
 2.7356755792266E-01  9.8304878399290E-01  1.9490278380261E-01  0.0000000000000E+00 -6.3560006938942E-02  1.0172435145469E+00
